DateTime,Actual_PT08.S1(CO),Predicted_PT08.S1(CO),Actual_PT08.S2(NMHC),Predicted_PT08.S2(NMHC),Actual_PT08.S3(NOx),Predicted_PT08.S3(NOx),Actual_PT08.S4(NO2),Predicted_PT08.S4(NO2),Actual_PT08.S5(O3),Predicted_PT08.S5(O3)
2004-03-10 19:00:00,1292.0,1315.3567685109185,,,,,,,,
2004-03-10 20:00:00,1402.0,1258.564592990215,939.0,951.0448920270467,,,,,,
2004-03-10 21:00:00,1376.0,1350.4342886854706,948.0,937.6838043937364,1092.0,1087.8352188435124,,,,
2004-03-10 22:00:00,1272.0,1328.7196333393194,836.0,945.1994161874734,1205.0,1047.4519743712626,1490.0,1566.6648494699837,,
2004-03-10 23:00:00,1197.0,1241.861011954714,750.0,851.6718027543017,1337.0,1142.5208623996841,1393.0,1484.2499004629406,949.0,1094.9546069460039
2004-03-11 00:00:00,1185.0,1179.2225830715852,690.0,779.855956725259,818.0,1253.5747846983716,1333.0,1399.2046871258854,733.0,957.225638133235
2004-03-11 01:00:00,1136.0,1169.2004344502845,672.0,729.7518781003456,818.0,816.930953842169,1333.0,1346.599400525645,730.0,772.4464004713832
2004-03-11 02:00:00,1094.0,1128.2766609133068,609.0,714.7206545128716,818.0,816.930953842169,1276.0,1346.599400525645,620.0,769.8800221705242
2004-03-11 03:00:00,1010.0,1093.199140738755,561.0,662.1113719567124,818.0,816.930953842169,1235.0,1296.6243782554166,501.0,675.779484472359
2004-03-11 04:00:00,1011.0,1023.0441003896505,527.0,622.0281090567818,818.0,816.930953842169,1197.0,1260.6774324119192,445.0,573.9798118716166
2004-03-11 05:00:00,1066.0,1023.8792794414255,512.0,593.6357978359974,818.0,816.930953842169,1182.0,1227.3607508984335,422.0,526.0740835889142
2004-03-11 06:00:00,1052.0,1069.8141272890534,553.0,581.1097781797691,818.0,816.930953842169,1221.0,1214.2094292483735,472.0,506.3985166156615
2004-03-11 07:00:00,1144.0,1058.1216205642027,667.0,615.3475652401266,818.0,816.930953842169,1339.0,1248.4028655385298,730.0,549.1714882966457
2004-03-11 08:00:00,1333.0,1134.9580933275074,900.0,710.5453146274622,1136.0,816.930953842169,1517.0,1351.859929185669,1102.0,769.8800221705242
2004-03-11 09:00:00,1351.0,1292.8069341129922,960.0,905.1161532875426,1079.0,1084.4699484708249,1583.0,1507.9222794330485,1028.0,1088.1109314770465
2004-03-11 10:00:00,1233.0,1307.840157044943,827.0,955.220231912456,1218.0,1036.5148456600282,1446.0,1565.788094693313,860.0,1024.80693338919
2004-03-11 11:00:00,1179.0,1209.289028935487,762.0,844.1561909605647,1328.0,1153.4579911109186,1362.0,1445.6726902894309,671.0,881.089748541083
2004-03-11 12:00:00,1236.0,1164.1893601396341,774.0,789.8767724502418,1301.0,1246.0029263598246,1401.0,1372.0252890490945,664.0,719.4079155869628
2004-03-11 13:00:00,1286.0,1211.7945660908122,869.0,799.8975881752244,1162.0,1223.2873513441841,1537.0,1406.2187253392506,799.0,713.4196995516251
2004-03-11 14:00:00,1371.0,1253.5535186795648,1034.0,879.229045998004,983.0,1106.3442058932937,1730.0,1525.457374966462,1037.0,828.9067230902823
2004-03-11 15:00:00,1310.0,1324.5437380804442,933.0,1017.015262216516,1082.0,955.7483567155282,1647.0,1694.6710468639017,946.0,1032.506068291767
2004-03-11 16:00:00,1292.0,1273.597815922166,912.0,932.6733965312451,1103.0,1039.0387984395438,1591.0,1621.9004004002359,957.0,954.6592598323758
2004-03-11 17:00:00,1383.0,1258.564592990215,1020.0,915.1369690125254,1008.0,1056.706467896153,1719.0,1572.8021329066783,1104.0,964.0693136021924
2004-03-11 18:00:00,1581.0,1334.5658867017448,1319.0,1005.3243105373696,799.0,976.7812965448251,2083.0,1685.0267443205244,1409.0,1089.8218503442858
2004-03-11 19:00:00,1075.0,1499.9313389532049,1488.0,1255.0096356848549,702.0,800.9459195719033,1456.2645979312647,2004.165483028649,1704.0,1350.7369775982895
2004-03-11 20:00:00,1640.0,1077.330738755029,1404.0,1396.1361238116942,743.0,719.3381130342316,2191.0,1454.672225556271,1654.0,1603.0975105160962
2004-03-11 21:00:00,1313.0,1549.206903007933,1076.0,1325.9904137368155,957.0,753.8321343542784,1707.0,2098.8549989090816,1285.0,1560.324538835112
2004-03-11 22:00:00,965.0,1276.1033530774912,749.0,1052.0881172539553,1325.0,933.8740992930594,1333.0,1674.5056870004762,821.0,1244.6600078294487
2004-03-11 23:00:00,913.0,985.4610430597731,629.0,779.0208887481772,818.0,1243.478973580309,1252.0,1346.599400525645,552.0,847.7268306299154
2004-03-12 00:00:00,1080.0,942.0317323674705,805.0,678.8127314983503,1254.0,816.930953842169,1375.0,1275.5822636153205,816.0,617.6082429862204
2004-03-12 01:00:00,1044.0,1081.5066340139042,829.0,825.7846954647631,1247.0,1183.745424465106,1378.0,1383.4231011458132,832.0,843.4495334618169
2004-03-12 02:00:00,988.0,1051.4401881500023,718.0,845.8263269147284,1396.0,1177.8562013129028,1304.0,1386.053365475825,692.0,857.1368843997319
2004-03-12 03:00:00,889.0,1004.6701612505993,574.0,753.1337814586386,818.0,1303.2125226955122,1187.0,1321.1735120021954,512.0,737.3725636929762
2004-03-12 04:00:00,831.0,921.9874351248693,506.0,632.8839927588464,818.0,816.930953842169,1134.0,1218.5932031317268,384.0,583.3898656414331
